Vuosi,KaikuYks,HämäläinenYks,Suomalainen Wirallinen LehtiYks,Sanomia TurustaYks,Uusi SuometarYks,Tampereen SanomatYks,SatakuntaYks,Keski-SuomiYks,KarjalatarYks,Hämeen SanomatYks,KaikuMon,HämäläinenMon,Suomalainen Wirallinen LehtiMon,Sanomia TurustaMon,Uusi SuometarMon,Tampereen SanomatMon,SatakuntaMon,Keski-SuomiMon,KarjalatarMon,Hämeen SanomatMon,KaikuGen,HämäläinenGen,Suomalainen Wirallinen LehtiGen,Sanomia TurustaGen,Uusi SuometarGen,Tampereen SanomatGen,SatakuntaGen,Keski-SuomiGen,KarjalatarGen,Hämeen SanomatGen,
1878,2.37430877935661,0.062481809983068674,0.5623362898476181,0.3748908598984121,1.8119724895089917,0.6248180998306867,0.2499272399322747,0.6872999098137555,0.6248180998306867,0.0,1.6870088695428542,0.4998544798645494,24.242942273430646,9.434753307443371,33.55273196090788,5.623362898476181,2.8116814492380904,1.6870088695428542,4.561172128764014,0.0,0.31240904991534335,0.0,0.3748908598984121,0.31240904991534335,1.3121180096444423,0.12496361996613735,0.062481809983068674,0.12496361996613735,0.18744542994920604,0.0,
1879,2.042064602188515,0.11344803345491748,0.6806882007295049,1.0210323010942575,3.4034410036475244,0.7374122174569636,0.45379213381966993,0.7374122174569636,0.2836200836372937,0.3970681170922112,1.8151685352786797,0.3970681170922112,20.193749954975313,8.395154475663894,35.792854555026466,5.105161505471287,3.4601650203749834,1.928616568733597,3.346716986920066,1.758444518551221,0.8508602509118811,0.0,0.17017205018237622,0.45379213381966993,1.1912043512766335,0.11344803345491748,0.11344803345491748,0.05672401672745874,0.45379213381966993,0.17017205018237622,
1880,2.620925457701414,0.16729311432136684,0.6691724572854674,1.1710518002495678,2.5093967148205025,0.8364655716068342,0.22305748576182247,0.22305748576182247,0.22305748576182247,0.3903506000831893,2.2305748576182243,1.0595230573686565,19.852116232802196,5.353379658283739,39.09082437975938,4.8515003153196385,1.728695514654124,2.007517371856402,3.457391029308248,1.7844598860945797,0.44611497152364493,0.055764371440455617,0.16729311432136684,0.0,3.011276057784603,0.11152874288091123,0.16729311432136684,0.22305748576182247,0.44611497152364493,0.16729311432136684,
1881,0.3374195158049229,0.0,0.4338250917491866,1.4942864271360874,2.5547477625229877,0.6748390316098458,0.28921672783279107,0.5784334556655821,0.28921672783279107,0.14460836391639553,1.0604613353869006,0.4338250917491866,14.557241967583817,6.989404255959117,38.99605546945466,5.784334556655821,1.6870975790246148,2.506544974550856,2.4583421865787245,1.0604613353869006,0.048202787972131844,0.0,0.24101393986065922,0.3374195158049229,1.30147527524756,0.19281115188852738,0.0,0.09640557594426369,0.38562230377705475,0.09640557594426369,
1882,0.0390196591578145,0.078039318315629,1.0535307972609915,0.7023538648406611,4.019024893254894,0.468235909893774,0.5462752282094031,0.7023538648406611,0.42921625073595954,0.312157273262516,0.312157273262516,0.5852948873672176,12.369231953027198,6.516283079355022,21.07061594521983,3.004513755151717,0.7023538648406611,1.9509829578907254,2.7313761410470154,0.9754914789453627,0.0390196591578145,0.19509829578907253,0.0390196591578145,0.1170589774734435,0.9754914789453627,0.078039318315629,0.078039318315629,0.1170589774734435,0.156078636631258,0.156078636631258,
1883,0.6085974049406654,0.0715996946989018,0.5727975575912144,0.5369977102417635,4.081182597837403,0.5011978628923126,0.42959816819341085,0.2505989314461563,0.35799847349450903,0.46539801554286175,0.46539801554286175,0.3221986261450581,13.49654245074299,6.658771606997868,19.43931711075184,1.789992367472545,1.861592062171447,1.4319938939780361,1.9689916042197997,1.5393934360263888,0.0715996946989018,0.0357998473494509,0.10739954204835271,0.21479908409670542,0.6085974049406654,0.1431993893978036,0.0715996946989018,0.0715996946989018,0.10739954204835271,0.10739954204835271,
1884,0.35918674634865444,0.03265334057715041,0.6530668115430082,0.6204134709658577,2.3510405215548293,0.5551067898115569,0.26122672461720325,0.06530668115430081,0.13061336230860163,0.5224534492344065,0.19592004346290245,0.13061336230860163,12.016429332391349,7.020468224087337,15.640950136455045,2.6122672461720327,1.371440304240317,0.6204134709658577,1.1428669202002641,0.8163335144287602,0.09796002173145123,0.06530668115430081,0.09796002173145123,0.22857338404005287,0.4898001086572561,0.09796002173145123,0.03265334057715041,0.03265334057715041,0.0,0.03265334057715041,
1885,0.6422303281420396,0.1459614382140999,1.0509223551415194,0.8173840539989595,2.1310369979258588,0.6130380404992196,0.3503074517138398,0.5838457528563996,0.1459614382140999,0.1751537258569199,0.26273058878537986,0.3211151640710198,11.910453358270553,5.312996350993237,16.43525794290765,5.575726939778616,1.1093069304271594,1.926690984426119,1.0509223551415194,0.6714226157848596,0.058384575285639964,0.029192287642819982,0.08757686292845995,0.1751537258569199,0.7589994787133195,0.08757686292845995,0.0,0.058384575285639964,0.0,0.029192287642819982,
1886,0.7361288619620501,0.11325059414800771,0.4246897280550289,1.132505941480077,1.4439450753870984,0.7361288619620501,0.3114391339070212,1.3306944812390906,0.08493794561100579,0.7078162134250482,1.585508318072108,0.36806443098102504,8.946796937692609,5.351090573493364,24.23562714767365,4.728212305679322,1.3590071297760926,1.132505941480077,2.5198257197931717,0.9343174017210636,0.05662529707400386,0.05662529707400386,0.11325059414800771,0.36806443098102504,0.4813150251290328,0.2831264853700193,0.05662529707400386,0.05662529707400386,0.05662529707400386,0.22650118829601543,
1887,1.1564291807511067,0.11564291807511068,0.4394430886854206,0.7863718429107526,2.1047011089670145,0.7632432592957306,0.3238001706103099,0.7401146756807083,0.4394430886854206,0.5319574231455091,1.2952006824412396,0.23128583615022136,6.892317917276596,4.11688788347394,15.47302243844981,3.261130289718121,2.5904013648824793,0.9251433446008854,1.4108436005163503,0.5550860067605312,0.1387715016901328,0.023128583615022135,0.04625716723004427,0.16190008530515496,0.670728924835642,0.18502866892017708,0.1387715016901328,0.09251433446008854,0.04625716723004427,0.11564291807511068,
